名字,粉丝数,文章数量,国家,简介,详情页的url,图片url
飞利浦 PHILIPS,10.2万,8744,荷兰,来自荷兰的飞利浦主要有照明、家用电器、医疗系统方面的产品。无论是质量还是口碑都非常好，很耐用，创新的功能给小红薯带来更加方便的生活。,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d16420,http://ci.xiaohongshu.com/9497816e-d318-4a72-a7d2-8a63b73e9749
悦诗风吟 innisfree,42.4万,5.3万,韩国,Innisfree的含义是指纯净自然与健康之美得以和谐共生的纯净小岛。悦诗风吟选取来自纯净岛屿——济州岛的精萃原料，将愉悦身心的健康之美赋予每位消费者，是保护大自然，倡导快乐、环保、绿色生活理念的自然主义品牌。,https://www.xiaohongshu.com/page/brands/5a4384908000862471d152e5,http://ci.xiaohongshu.com/8c4d5517-b8b7-43cf-b86e-58961150eaa0
CANMAKE,5459,2.3万,日本,日本超人气化妆品品牌，被称为平价战斗机，多个彩妆品入选cosme大赏，以平价优质的化妆品打动无数小红薯的心哦！,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be8,http://ci.xiaohongshu.com/c29b497f-cf3d-47e2-a703-8856add33c64
森田药妆 Dr.Morita,2.6万,4827,中国台湾,台湾品牌森田药妆，致力于日本技术合作，专注于基础成分与配方的创新研究，目前公司获得10项与面膜相关的研发专利。平价好用的特点受到许多亚洲消费者的喜爱，多款面膜是热门畅销品。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15aff,http://ci.xiaohongshu.com/f8b09b73-333c-4f5c-a346-1b973625c898
悦木之源 ORIGINS,5.7万,2.1万,美国,全球高端植物护肤品牌，纯天然成分适合大部分小红薯的肌肤。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d142a9,http://ci.xiaohongshu.com/819133ee-219e-44a8-9936-559244085392
芭妮兰 BANILA CO,5.5万,8423,韩国,Banila co是韩国著名时尚彩妆品牌，隶属韩国FNF株式会社旗下。产品以底妆为主，在各种化妆品品牌云集的韩国极受欢迎。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140e1,http://ci.xiaohongshu.com/079cebde-d300-495f-b3cb-d1eeecc61fd4
AHC A.H.C,11.9万,1.3万,韩国,AHC为韩国美容专业线高端品牌，也是功效性化妆品牌，让小红薯在家也能获得高级美容沙龙般的享受。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d141d8,http://ci.xiaohongshu.com/d6095aa2-52ce-4fba-8156-9808ead83ded
高丝 KOSE,4.2万,8211,日本,创立于1946年的高丝品牌，旗下的产品种类丰富，有很多类似黛珂、雪肌精等耳熟能详的护肤品牌都来自KOSE，产品以高质量著称，被称为“品质的高丝”！,https://www.xiaohongshu.com/page/brands/5a4384818000862471d14013,http://ci.xiaohongshu.com/0d3616a0-5f56-4cd7-89b1-d926a087d5f9
H&M,1.7万,5.6万,瑞典,横扫欧洲街头的高街品牌，奉行兼顾流行、品质及价格的三合一的品牌哲学。随便进入到H&M的一家门店，都能看到形形色色不同风格的服装，有轻便的运动装，剪裁合体的商务装，还有约会赴宴必备的轻礼服。不管是哪种类型的服饰，你都能看到它身上露出的当季流行的时尚元素。,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d15117,http://ci.xiaohongshu.com/5763614e-6a7e-4e18-ad33-961b3635474e
狮王 LION,612,7607,日本,日本大型的日化和日用品牌之一，致力于为人们提供更舒适更高品质的产品，产品覆盖面广。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14134,http://ci.xiaohongshu.com/303cddc4-7d66-43bc-b6c8-3f5b1705e841
馥蕾诗 FRESH,5.4万,2.5万,美国,LVMH旗下高端生活方式品牌，坚持天然成分、古法美肤和尖端科技结合,https://www.xiaohongshu.com/page/brands/5a4384818000862471d140ba,http://ci.xiaohongshu.com/12b2e5d9-50dd-4cc4-80f2-25c583364065
城野医生 Dr.Ci:Labo,2.3万,1.7万,日本,城野医生是日本知名的医学美容品牌，以科研实力和医疗技术为基础，致力于研发能解决肌肤真正需求的产品。其明星产品长据日本药妆店榜单，毛孔收敛水、VC水等都是红薯的爱用品。,https://www.xiaohongshu.com/page/brands/5a4384808000862471d13f61,http://ci.xiaohongshu.com/7da753c0-9bb3-11e9-b1d3-73eb2e2d2150-9r9tsb
碧柔 Biore,1231,1万,日本,花王旗下最大的肌肤护理品牌之一，坚持以成为平价健康值得信赖的品牌为目标。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d142b8,http://ci.xiaohongshu.com/7fcdfc98-0f3f-4fb1-acaf-d0c462516ba9
欧舒丹 L‘OCCITANE,3.4万,1.7万,法国,L‘OCCITANE是来自普罗旺斯的香氛护理品牌，专门制造及售卖个人护理产品及家居产品，给每一位小红薯带来一个薰衣草的护肤spa。,https://www.xiaohongshu.com/page/brands/5a4384808000862471d13f6e,http://ci.xiaohongshu.com/a59f93e0-a8d4-42de-baeb-657554c4d077
魅可 M.A.C,19.1万,8.5万,美国,M·A·C是雅诗兰黛化妆品集团旗下第一个非由兰黛夫人自创的品牌。是专业的艺术彩妆品牌，MAC是红薯彩妆达人最爱的品牌之一。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d1400f,http://ci.xiaohongshu.com/5d860895-79a7-4000-805f-614270d22180
