名字,粉丝数,文章数量,国家,简介,详情页的url,图片url
耐克 Nike,None,6.3万,美国,全球著名体育品牌商，强大的运动性能和时尚的外形设计使他广受追捧。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be3,http://ci.xiaohongshu.com/b82c04e9-9d35-49a6-a811-a2216823ee5e
植村秀 shu uemura,None,2.4万,日本,植村秀品牌由具有传奇经历的日本彩妆大师——植村秀先生创立。秉承着“自然、科学、艺术”的日式美妆哲学，和“美丽妆容始于完美肌肤”的理念，打造了领先时尚的彩妆、创新高效的保养及质量卓越的刷具组，并以「简约而丰富」的创作风格呈现于世。,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d150a6,http://ci.xiaohongshu.com/66806490-c95b-3aff-868d-5dbea22fc8f8
拉杜丽 Laduree,None,5908,日本,以马卡龙甜点为设计元素的日本彩妆品牌，高颜值的外表和超好用的实力产品，俘获了许多少女心的女性。,https://www.xiaohongshu.com/page/brands/5a43847e8000862471d13be5,http://ci.xiaohongshu.com/d0cb30e7-4ac4-4db3-bea5-67ac5174f521
DHC  ,2.9万,9763,日本,DHC作为日本通信销售化妆品知名品牌，30年来致力于打造天然、温和高效的护肤、彩妆及健康食品。DHC橄榄卸妆油、纯橄情焕采精华油、护唇膏等深受亚洲、乃至全球爱美人士的喜爱！,https://www.xiaohongshu.com/page/brands/5a4384828000862471d141a8,http://ci.xiaohongshu.com/1feb05db-16f6-4bee-b543-d7429bce2364
维多利亚的秘密 Victoria's Secret,1.2万,1.2万,美国,美国知名女性内衣品牌，Victoria's Secret就是性感的象征。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140f9,http://ci.xiaohongshu.com/9d3373b6-d77c-4fc6-87be-3c43635e4073
资生堂 Shiseido,5.6万,6.1万,日本,日本知名的老牌化妆品品牌，从年轻到熟龄，从平价到奢侈，护肤及彩妆系列众多，能够满足不同爱美女性的需求。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d143af,http://ci.xiaohongshu.com/4c36714c-9f7f-4ae3-9132-d1849a35a34b
欧缇丽 CAUDALIE,1.5万,1.5万,法国,1993年欧缇丽诞生于法国，推出了一系列以葡萄藤，葡萄蔓和葡萄萃取物为主要成分的抗衰老护肤产品。以其天然，高效和迷人的品牌文化成为法国及分布世界25个国家的知名天然护肤品牌。,https://www.xiaohongshu.com/page/brands/5a4384908000862471d15398,http://ci.xiaohongshu.com/b396a143-8da4-4a5c-b971-95861e11344e
宝丽 POLA,1483,2万,日本,日本高端化妆品品牌代表之一，有内服保养，洗护个护，及从平价到贵妇的多条护肤线，能够满足不同爱美人士的需求。,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be5,http://ci.xiaohongshu.com/9e61b997-7e52-4f36-9c35-5019186bec87
松下 Panasonic,5.8万,8946,日本,日本著名电子产品制造商，口碑很好，种类多样，从影像器材、音箱、磁性记录产品到通讯器材、车载设备、家用电器等方面都有，能够满足小红薯不同的需求，质量很好，非常耐用。,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d163b9,http://ci.xiaohongshu.com/e49cdf33-1fa3-45b0-b80d-77b1c2c6b97d
丝芙兰 SEPHORA,None,2.9万,法国,全球化妆品零售权威，只供应一流品牌。自营品牌也极受好评。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d140c8,http://ci.xiaohongshu.com/ec0ec2b3-d3f6-4475-873a-5dcc39e2eec4
茵芙莎 IPSA,1万,2万,日本,IPSA是资生堂旗下品牌，独创的水乳合一“自律液”让众多小红薯真正了解自己的皮肤，彩妆也总在cosme大赏上露脸。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d14354,http://ci.xiaohongshu.com/84cf18f8-d5f2-45aa-9a64-0aba4b37a3dd
澳尔滨 ALBION,3956,2万,日本,日本高级护肤品牌，1956年创立以来，无论是研发、试验、品质还是包装，ALBION都以创造艺术品的虔诚精神去完成，为的就是让每一个细节都呈现绝对的完美。独有的护肤理论得到很多消费者的喜爱和拥护，拥有多款大受欢迎的明星产品。,https://www.xiaohongshu.com/page/brands/5a4384948000862471d1580a,http://ci.xiaohongshu.com/acfc25f8-ec25-465e-b00b-798871abbf4c
露华浓 Revlon,None,9742,美国,露华浓作为一家国际知名的化妆品集团公司，遍布欧洲、美洲、亚洲各个国家。化妆品、身体护理、香水和个人护理产品都非常出色，露华浓的理念正是不断地将富于魅力、激情和创新的高品质产品以合理的价格提供给消费者。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ac8,http://ci.xiaohongshu.com/0e24f379-0f1a-41fc-bcb7-d8825f3d26c7
3CE,7.8万,2.3万,韩国,3CE是STYLENANDA旗下的彩妆品牌，被美国CNN评选韩国十大品牌暨2014年受游客欢迎的潮流品牌。超高性价比从少女系到成熟系的超长跨度成为众多小红薯超爱的彩妆！,https://www.xiaohongshu.com/page/brands/5a43848d8000862471d14efb,http://ci.xiaohongshu.com/25aebecc-743a-419f-bfed-a57c27d900c4
黛珂 COSME DECORTE,None,2.4万,日本,黛珂是日本KOSE集团旗下的高端护肤及彩妆品牌。它的每个系列都有个专有名字，从护肤到彩妆系列都广受好评。,https://www.xiaohongshu.com/page/brands/5a4384818000862471d13ffb,http://ci.xiaohongshu.com/90e6a9e9-66af-4dac-bcf4-4e5b7c7b0226
BLACKMORES 澳佳宝,1.9万,8603,澳大利亚,BLACKMORES是澳大利亚的知名保健品品牌，已经有近80年历史啦，不仅在澳洲本土广受信任，在世界各地都有超高人气，对妈妈和宝宝的健康也很关注喔。,https://www.xiaohongshu.com/page/brands/5a4384918000862471d153ab,http://ci.xiaohongshu.com/fd91ee1d-d85d-4c53-b949-b0b928b048b0
普拉达 PRADA,None,2.6万,意大利,Prada这个百年老字号，在花俏的潮流界里，秉持一贯精致的作风，显示了成熟庄重又非常典雅的风韵。一部《穿PRADA的恶魔》足以证明其在时尚界的崇高地位，让它成为当代经典。,https://www.xiaohongshu.com/page/brands/5a4384848000862471d144ad,http://ci.xiaohongshu.com/5f938077-2307-4d54-8587-fbfe649ec6b2
芙拉 FURLA,None,1.2万,意大利,意大利著名皮具品牌，成熟中带点俏皮的设计是众多名媛淑女的最爱！,https://www.xiaohongshu.com/page/brands/5a4384848000862471d144ac,http://ci.xiaohongshu.com/b9b744ad-d80c-461c-8027-ac5442d29b01
伊思 it's skin,3.8万,7802,韩国,It’s skin是韩国三大化妆品公司之一的韩佛公司旗下品牌，获得英国kifus顶级化妆品公司的技术配方支持，以明星单品蜗牛霜火遍亚洲，是红薯们到韩国的必买单品之一。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ad1,http://ci.xiaohongshu.com/7ab8d776-ddc1-4b12-9459-2ccea390c01c
爱茉莉太平洋 Amore Pacific,None,None,韩国,爱茉莉太平洋集团是韩国大型的化妆品集团公司。公司成立已有50年的历史，旗下拥有众多知名品牌， 自身Amore Pacific也是韩国优秀的护肤品牌之一。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15b08,http://ci.xiaohongshu.com/4368a0e8-2294-4817-8fc3-685f2a966828
飞利浦 PHILIPS,10.2万,8744,荷兰,来自荷兰的飞利浦主要有照明、家用电器、医疗系统方面的产品。无论是质量还是口碑都非常好，很耐用，创新的功能给小红薯带来更加方便的生活。,https://www.xiaohongshu.com/page/brands/5a43849e8000862471d16420,http://ci.xiaohongshu.com/9497816e-d318-4a72-a7d2-8a63b73e9749
悦诗风吟 innisfree,42.4万,5.3万,韩国,Innisfree的含义是指纯净自然与健康之美得以和谐共生的纯净小岛。悦诗风吟选取来自纯净岛屿——济州岛的精萃原料，将愉悦身心的健康之美赋予每位消费者，是保护大自然，倡导快乐、环保、绿色生活理念的自然主义品牌。,https://www.xiaohongshu.com/page/brands/5a4384908000862471d152e5,http://ci.xiaohongshu.com/8c4d5517-b8b7-43cf-b86e-58961150eaa0
CANMAKE,5459,2.3万,日本,日本超人气化妆品品牌，被称为平价战斗机，多个彩妆品入选cosme大赏，以平价优质的化妆品打动无数小红薯的心哦！,https://www.xiaohongshu.com/page/brands/5a43848a8000862471d14be8,http://ci.xiaohongshu.com/c29b497f-cf3d-47e2-a703-8856add33c64
森田药妆 Dr.Morita,2.6万,4827,中国台湾,台湾品牌森田药妆，致力于日本技术合作，专注于基础成分与配方的创新研究，目前公司获得10项与面膜相关的研发专利。平价好用的特点受到许多亚洲消费者的喜爱，多款面膜是热门畅销品。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15aff,http://ci.xiaohongshu.com/f8b09b73-333c-4f5c-a346-1b973625c898
悦木之源 ORIGINS,5.7万,2.1万,美国,全球高端植物护肤品牌，纯天然成分适合大部分小红薯的肌肤。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d142a9,http://ci.xiaohongshu.com/819133ee-219e-44a8-9936-559244085392
芭妮兰 BANILA CO,5.5万,8423,韩国,Banila co是韩国著名时尚彩妆品牌，隶属韩国FNF株式会社旗下。产品以底妆为主，在各种化妆品品牌云集的韩国极受欢迎。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140e1,http://ci.xiaohongshu.com/079cebde-d300-495f-b3cb-d1eeecc61fd4
花王 Kao,None,1.1万,日本,日本家庭用品和化妆品企业巨头，药妆店50%的东西都是他们家的，纸尿裤更是受到岛国妈妈的热情追捧喔。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14113,http://ci.xiaohongshu.com/5db97d57-7e2e-48d9-9a0b-7e8b8124bbb9
缪缪 Miu Miu,None,2.4万,意大利,Miu Miu 是来自意大利的服饰品牌，设计极具个人主义风格的同时又带着精致与优雅，将女性的气质发挥到了极致。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ac5,http://ci.xiaohongshu.com/6f279c1b-fdd0-4df6-b8bc-f44564a4e543
AHC A.H.C,11.9万,1.3万,韩国,AHC为韩国美容专业线高端品牌，也是功效性化妆品牌，让小红薯在家也能获得高级美容沙龙般的享受。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d141d8,http://ci.xiaohongshu.com/d6095aa2-52ce-4fba-8156-9808ead83ded
高丝 KOSE,4.2万,8211,日本,创立于1946年的高丝品牌，旗下的产品种类丰富，有很多类似黛珂、雪肌精等耳熟能详的护肤品牌都来自KOSE，产品以高质量著称，被称为“品质的高丝”！,https://www.xiaohongshu.com/page/brands/5a4384818000862471d14013,http://ci.xiaohongshu.com/0d3616a0-5f56-4cd7-89b1-d926a087d5f9
涂酷 too cool for school,None,6707,韩国,too cool  for school是韩国的一个化妆品品牌，‘school’的语源是‘（鱼类等的）群’，too cool for  school有‘在那一群里十分酷’的意思。too cool for  school不是为了制造漂亮和可爱的产品，而是为了制造十分酷，更加优秀的产品，为此一直在不懈地努力。不是跟风市场制造产品，而是时刻把制造可以引领顾客的，优质产品的这一理念放在首位。,https://www.xiaohongshu.com/page/brands/5a43849b8000862471d160e2,http://ci.xiaohongshu.com/fd8e0f34-3109-3765-85ba-32a08458158a
马克雅克布 Marc Jacobs,None,9574,美国,马克·雅各布的同名设计师品牌Marc Jacobs创造出不同以往的美式时尚，他发挥他的古怪气质和鬼马才华，把纽约的潮流活力和巴黎的奢华高雅相结合，擅长用绚丽的色彩和金属材质搭配，有一种独特的年轻叛逆休闲风。Marc Jacobs的包包和香水更是受到小红薯们的喜爱，有时清新少女，有时狂野张扬。,https://www.xiaohongshu.com/page/brands/5a4384968000862471d15ac4,http://ci.xiaohongshu.com/7a5ff16a-4cd7-4c57-8bbe-b4b35c004db4
H&M,1.7万,5.6万,瑞典,横扫欧洲街头的高街品牌，奉行兼顾流行、品质及价格的三合一的品牌哲学。随便进入到H&M的一家门店，都能看到形形色色不同风格的服装，有轻便的运动装，剪裁合体的商务装，还有约会赴宴必备的轻礼服。不管是哪种类型的服饰，你都能看到它身上露出的当季流行的时尚元素。,https://www.xiaohongshu.com/page/brands/5a43848e8000862471d15117,http://ci.xiaohongshu.com/5763614e-6a7e-4e18-ad33-961b3635474e
无印良品 MUJI,None,4.3万,日本,无印良品是来自日本的极简风生活方式品牌，提倡简约自然的风格，主张产品合理而且便宜，强调以商品本色示人。各类富有人性化的产品设计和简约派的风格，受到收多年轻人的喜爱。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14112,http://ci.xiaohongshu.com/028c8fff-a920-4bd2-a019-74c44a4be2ac
狮王 LION,612,7607,日本,日本大型的日化和日用品牌之一，致力于为人们提供更舒适更高品质的产品，产品覆盖面广。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d14134,http://ci.xiaohongshu.com/303cddc4-7d66-43bc-b6c8-3f5b1705e841
玫珂菲 MAKE UP FOR EVER,None,1.4万,法国,由Dany Sanz女士1984年创立的法国专业彩妆品牌，主营化妆师与普通消费者的专业化妆用品。在巴黎、米兰、纽约等艺术表演及时尚发布会的殿堂里， 它已成为时尚彩妆的代名词，更被专业model与彩妆师MOTOMI肯定。清晰无痕HD蜜粉是它家的明星产品，受到众多红薯的喜爱！,https://www.xiaohongshu.com/page/brands/5a4384998000862471d15e7e,http://ci.xiaohongshu.com/8097aa9f-33f5-37e5-818f-c81c4dc3e9f7
馥蕾诗 FRESH,5.4万,2.5万,美国,LVMH旗下高端生活方式品牌，坚持天然成分、古法美肤和尖端科技结合,https://www.xiaohongshu.com/page/brands/5a4384818000862471d140ba,http://ci.xiaohongshu.com/12b2e5d9-50dd-4cc4-80f2-25c583364065
城野医生 Dr.Ci:Labo,2.3万,1.7万,日本,城野医生是日本知名的医学美容品牌，以科研实力和医疗技术为基础，致力于研发能解决肌肤真正需求的产品。其明星产品长据日本药妆店榜单，毛孔收敛水、VC水等都是红薯的爱用品。,https://www.xiaohongshu.com/page/brands/5a4384808000862471d13f61,http://ci.xiaohongshu.com/7da753c0-9bb3-11e9-b1d3-73eb2e2d2150-9r9tsb
高田贤三 Kenzo,None,9326,法国,Kenzo品牌是日本设计大师高田贤三创建的时尚品牌。它的设计有一点点传统，和几分狂野。几乎每一款Kenzo时装都能找到适合的场合。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d14371,http://ci.xiaohongshu.com/8face0ea-f739-4811-b064-2a1a2379f7f2
碧柔 Biore,1231,1万,日本,花王旗下最大的肌肤护理品牌之一，坚持以成为平价健康值得信赖的品牌为目标。,https://www.xiaohongshu.com/page/brands/5a4384838000862471d142b8,http://ci.xiaohongshu.com/7fcdfc98-0f3f-4fb1-acaf-d0c462516ba9
美体小铺 THE BODY SHOP,None,1.1万,英国,来自英国的THE BODY SHOP坚持用纯天然原料来制作各种产品，平价但功效卓越。,https://www.xiaohongshu.com/page/brands/5a4384828000862471d140ed,http://ci.xiaohongshu.com/499d8547-284d-4817-8ab5-cf59dd022932
